CITY_NAME,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Cortland,18655.0,55.0,0.0,27.0,6.0,22.0,325.0,77.0,246.0,2.0,1.0
Coxsackie Village,2653.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Crawford Town,9171.0,1.0,0.0,0.0,1.0,0.0,64.0,13.0,49.0,2.0,1.0
Croton-on-Hudson Village,8131.0,3.0,0.0,0.0,0.0,3.0,36.0,2.0,32.0,2.0,0.0
Cuba Town,3083.0,1.0,0.0,0.0,0.0,1.0,27.0,3.0,24.0,0.0,0.0
Dansville Village,4389.0,1.0,0.0,0.0,0.0,1.0,52.0,7.0,44.0,1.0,0.0
Deerpark Town,7714.0,11.0,0.0,2.0,0.0,9.0,49.0,8.0,35.0,6.0,0.0
Delhi Village,3094.0,8.0,0.0,1.0,0.0,7.0,22.0,6.0,16.0,0.0,0.0
Depew Village,15008.0,15.0,0.0,5.0,2.0,8.0,193.0,27.0,156.0,10.0,1.0
Deposit Village,1524.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,8.0,1.0,0.0
DeWitt Town,25000.0,36.0,0.0,3.0,12.0,21.0,608.0,62.0,514.0,32.0,1.0
Dexter Village,1011.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Dobbs Ferry Village,10990.0,4.0,0.0,0.0,2.0,2.0,44.0,2.0,38.0,4.0,0.0
Dryden Village,2121.0,4.0,0.0,2.0,1.0,1.0,24.0,3.0,21.0,0.0,0.0
Dunkirk,11712.0,21.0,1.0,0.0,5.0,15.0,210.0,37.0,168.0,5.0,0.0
Durham Town,2659.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
East Aurora-Aurora Town,13785.0,2.0,0.0,0.0,1.0,1.0,67.0,10.0,52.0,5.0,0.0
Eastchester Town,20073.0,3.0,0.0,0.0,2.0,1.0,67.0,8.0,52.0,7.0,0.0
East Greenbush Town,16324.0,10.0,0.0,1.0,2.0,7.0,400.0,37.0,358.0,5.0,0.0
East Rochester Village,6522.0,6.0,0.0,0.0,1.0,5.0,69.0,18.0,47.0,4.0,0.0
Eden Town,7621.0,2.0,0.0,1.0,0.0,1.0,36.0,8.0,25.0,3.0,0.0
Ellenville Village,3980.0,9.0,0.0,0.0,1.0,8.0,50.0,4.0,44.0,2.0,0.0
Ellicott Town,5014.0,13.0,0.0,2.0,2.0,9.0,241.0,30.0,210.0,1.0,0.0
Ellicottville,1575.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,0.0,0.0
Elmira,26958.0,83.0,1.0,0.0,40.0,42.0,831.0,172.0,643.0,16.0,0.0
Elmira Heights Village,3819.0,4.0,0.0,0.0,1.0,3.0,73.0,13.0,58.0,2.0,0.0
Elmira Town,5589.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
Elmsford Village,5295.0,3.0,0.0,0.0,1.0,2.0,11.0,3.0,8.0,0.0,0.0
Evans Town,16118.0,20.0,0.0,6.0,4.0,10.0,171.0,8.0,154.0,9.0,1.0
Fairport Village,5334.0,2.0,0.0,0.0,1.0,1.0,24.0,1.0,22.0,1.0,0.0
Fishkill Town,21307.0,8.0,0.0,0.0,2.0,6.0,190.0,5.0,184.0,1.0,
Fishkill Village,2071.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,19.0,0.0,0.0
Floral Park Village,15927.0,8.0,0.0,0.0,4.0,4.0,26.0,2.0,22.0,2.0,0.0
Florida Village,2851.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0
Fort Edward Village,3253.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0
Fort Plain Village,2224.0,9.0,0.0,4.0,0.0,5.0,53.0,7.0,46.0,0.0,0.0
Frankfort Town,4817.0,3.0,0.0,1.0,0.0,2.0,20.0,3.0,16.0,1.0,1.0
Frankfort Village,2432.0,6.0,0.0,1.0,0.0,5.0,12.0,1.0,9.0,2.0,0.0
Franklinville Village,1632.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Freeport Village,43064.0,72.0,0.0,1.0,23.0,48.0,428.0,45.0,361.0,22.0,0.0
Friendship Town,1869.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0
Galway Village,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden City Village,22514.0,9.0,0.0,0.0,3.0,6.0,267.0,25.0,234.0,8.0,1.0
Gates Town,28366.0,55.0,0.0,11.0,11.0,33.0,776.0,66.0,669.0,41.0,2.0
Geddes Town,10038.0,4.0,0.0,0.0,2.0,2.0,162.0,22.0,135.0,5.0,0.0
Geneseo Village,8158.0,3.0,0.0,3.0,0.0,0.0,83.0,7.0,76.0,0.0,1.0
Geneva,12708.0,20.0,0.0,8.0,4.0,8.0,234.0,47.0,185.0,2.0,1.0
Glen Cove,27228.0,5.0,0.0,0.0,4.0,1.0,84.0,5.0,77.0,2.0,0.0
Glen Park Village,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glens Falls,14306.0,28.0,0.0,8.0,1.0,19.0,100.0,18.0,80.0,2.0,1.0
Glenville Town,21634.0,12.0,0.0,5.0,0.0,7.0,309.0,23.0,281.0,5.0,0.0
Gloversville,14738.0,66.0,0.0,24.0,2.0,40.0,401.0,36.0,349.0,16.0,1.0
Goshen Town,8798.0,2.0,0.0,0.0,0.0,2.0,27.0,3.0,23.0,1.0,0.0
Goshen Village,5337.0,2.0,0.0,0.0,0.0,2.0,29.0,5.0,23.0,1.0,0.0
Gowanda Village,2575.0,4.0,0.0,0.0,0.0,4.0,26.0,2.0,24.0,0.0,0.0
Granville Village,2422.0,3.0,0.0,0.0,1.0,2.0,12.0,3.0,9.0,0.0,0.0
Great Neck Estates Village,2884.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,3.0,0.0
Greece Town,95777.0,167.0,0.0,27.0,43.0,97.0,1847.0,194.0,1576.0,77.0,2.0
Greenburgh Town,45040.0,43.0,0.0,8.0,8.0,27.0,438.0,22.0,403.0,13.0,0.0
Greene Village,1415.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,16.0,1.0,0.0
Greenport Town,4286.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,55.0,1.0,0.0
Greenwich Village,1708.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,13.0,0.0,0.0
Greenwood Lake Village,3074.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,5.0,0.0,0.0
Groton Village,2278.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,34.0,0.0,0.0
Guilderland Town,34133.0,23.0,0.0,5.0,9.0,9.0,841.0,51.0,785.0,5.0,0.0
Hamburg Town,46445.0,43.0,2.0,0.0,8.0,33.0,742.0,66.0,659.0,17.0,3.0
Hamburg Village,9725.0,2.0,0.0,0.0,0.0,2.0,76.0,10.0,63.0,3.0,0.0
Hamilton Village,4081.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Hancock Village,934.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0
Harriman Village,2439.0,3.0,0.0,0.0,0.0,3.0,28.0,2.0,26.0,0.0,0.0
Harrison Town,27946.0,0.0,0.0,0.0,0.0,0.0,147.0,20.0,120.0,7.0,0.0
Hastings-on-Hudson Village,7916.0,2.0,0.0,0.0,0.0,2.0,58.0,4.0,53.0,1.0,1.0
Hempstead Village,55404.0,297.0,7.0,11.0,101.0,178.0,579.0,120.0,348.0,111.0,2.0
Herkimer Village,7291.0,41.0,0.0,11.0,2.0,28.0,201.0,19.0,179.0,3.0,0.0
Highlands Town,8444.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0
Holley Village,1676.0,1.0,0.0,1.0,0.0,0.0,9.0,4.0,5.0,0.0,2.0
Homer Village,3100.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Hoosick Falls Village,3359.0,5.0,0.0,0.0,0.0,5.0,21.0,3.0,17.0,1.0,0.0
Horseheads Village,6390.0,4.0,0.0,1.0,1.0,2.0,101.0,8.0,91.0,2.0,0.0
Hudson Falls Village,7023.0,14.0,0.0,4.0,0.0,10.0,45.0,8.0,35.0,2.0,1.0
Huntington Bay Village,1434.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
Hyde Park Town,20808.0,4.0,0.0,0.0,1.0,3.0,84.0,10.0,73.0,1.0,0.0
Ilion Village,7685.0,38.0,0.0,14.0,2.0,22.0,163.0,21.0,136.0,6.0,0.0
Independence Town,1137.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0
Inlet Town,302.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Irvington Village,6506.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,28.0,2.0,0.0
Ithaca,31122.0,41.0,1.0,5.0,9.0,26.0,840.0,56.0,768.0,16.0,2.0
Jamestown,29102.0,199.0,0.0,31.0,19.0,149.0,863.0,203.0,621.0,39.0,13.0
Johnson City Village,14196.0,61.0,1.0,19.0,10.0,31.0,765.0,76.0,681.0,8.0,1.0
Johnstown,8198.0,13.0,0.0,8.0,0.0,5.0,138.0,13.0,123.0,2.0,1.0
Jordan Village,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenmore Village,15025.0,11.0,0.0,0.0,4.0,7.0,175.0,23.0,147.0,5.0,0.0
Kensington Village,1189.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0
Kent Town,13235.0,5.0,0.0,4.0,1.0,0.0,27.0,2.0,23.0,2.0,1.0
Kings Point Village,5312.0,2.0,0.0,0.0,1.0,1.0,24.0,4.0,2.0,18.0,0.0
Kingston,22844.0,68.0,2.0,13.0,10.0,43.0,498.0,59.0,419.0,20.0,2.0
Kirkland Town,8329.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
Lackawanna,17724.0,81.0,0.0,12.0,9.0,60.0,378.0,53.0,291.0,34.0,1.0
Lake Placid Village,2369.0,3.0,0.0,2.0,1.0,0.0,19.0,3.0,16.0,0.0,0.0
Lake Success Village,3153.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,12.0,2.0,0.0
Lakewood-Busti,7193.0,5.0,0.0,2.0,2.0,1.0,332.0,42.0,284.0,6.0,1.0
Lancaster Town,37571.0,21.0,0.0,5.0,8.0,8.0,398.0,37.0,351.0,10.0,0.0
Larchmont Village,6096.0,2.0,0.0,1.0,1.0,0.0,84.0,2.0,78.0,4.0,0.0
Lewisboro Town,12582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewiston Town and Village,15763.0,4.0,0.0,2.0,0.0,2.0,87.0,4.0,72.0,11.0,3.0
Liberty Village,4083.0,29.0,0.0,7.0,4.0,18.0,119.0,15.0,103.0,1.0,0.0
Little Falls,4642.0,15.0,0.0,2.0,1.0,12.0,39.0,4.0,34.0,1.0,2.0
Liverpool Village,2202.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,1.0,0.0
Lloyd Harbor Village,3667.0,3.0,0.0,0.0,0.0,3.0,7.0,0.0,6.0,1.0,0.0
Lloyd Town,10463.0,7.0,0.0,2.0,1.0,4.0,99.0,9.0,88.0,2.0,0.0
Long Beach,33552.0,19.0,0.0,0.0,2.0,17.0,66.0,5.0,53.0,8.0,1.0
Lowville Village,3315.0,3.0,0.0,0.0,0.0,3.0,14.0,2.0,12.0,0.0,0.0
Lynbrook Village,19492.0,13.0,0.0,2.0,2.0,9.0,95.0,8.0,81.0,6.0,0.0
Macedon Town and Village,8877.0,5.0,0.0,2.0,0.0,3.0,72.0,6.0,63.0,3.0,0.0
Malone Village,5581.0,12.0,0.0,6.0,1.0,5.0,112.0,12.0,96.0,4.0,0.0
Malverne Village,8514.0,2.0,0.0,0.0,0.0,2.0,10.0,3.0,7.0,0.0,0.0
Mamaroneck Town,12088.0,2.0,0.0,0.0,0.0,2.0,79.0,10.0,67.0,2.0,0.0
Mamaroneck Village,19183.0,16.0,0.0,1.0,2.0,13.0,157.0,21.0,122.0,14.0,0.0
Manchester Village,1618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manlius Town,24168.0,19.0,0.0,5.0,4.0,10.0,254.0,24.0,216.0,14.0,2.0
Marcellus Village,1717.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
Marlborough Town,8601.0,3.0,0.0,0.0,0.0,3.0,45.0,4.0,37.0,4.0,0.0
Massena Village,10177.0,11.0,0.0,0.0,3.0,8.0,246.0,29.0,209.0,8.0,0.0
Maybrook Village,3791.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,4.0,1.0,0.0
Mechanicville,5072.0,7.0,0.0,0.0,0.0,7.0,32.0,6.0,23.0,3.0,0.0
Medina Village,5631.0,12.0,0.0,2.0,3.0,7.0,90.0,20.0,66.0,4.0,4.0
Menands Village,3885.0,4.0,0.0,0.0,1.0,3.0,92.0,14.0,74.0,4.0,0.0
Middleport Village,1745.0,1.0,0.0,0.0,0.0,1.0,10.0,2.0,8.0,0.0,0.0
Middletown,27801.0,87.0,3.0,16.0,16.0,52.0,308.0,45.0,249.0,14.0,2.0
Millerton Village,2958.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,1.0,0.0
Mohawk Village,2533.0,3.0,0.0,1.0,0.0,2.0,24.0,4.0,20.0,0.0,1.0
Monroe Village,8593.0,7.0,0.0,0.0,1.0,6.0,119.0,4.0,114.0,1.0,1.0
Montgomery Village,4621.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,12.0,0.0,0.0
Monticello Village,6392.0,25.0,0.0,2.0,4.0,19.0,113.0,27.0,82.0,4.0,0.0
Moravia Village,1200.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,10.0,0.0,
Moriah Town,4557.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Mount Hope Town,6624.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0
Mount Vernon,67619.0,381.0,2.0,20.0,98.0,261.0,842.0,91.0,642.0,109.0,6.0
Nassau Village,1101.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0
Newark Village,8799.0,28.0,0.0,2.0,10.0,16.0,228.0,20.0,202.0,6.0,0.0
New Berlin Town,1510.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,12.0,1.0,0.0
Newburgh,28070.0,317.0,3.0,19.0,82.0,213.0,640.0,137.0,484.0,19.0,3.0
Newburgh Town,31128.0,22.0,0.0,2.0,6.0,14.0,911.0,34.0,864.0,13.0,4.0
New Castle Town,17896.0,1.0,0.0,0.0,0.0,1.0,53.0,5.0,48.0,0.0,0.0
New Hartford Town and Village,20294.0,17.0,0.0,2.0,6.0,9.0,617.0,21.0,587.0,9.0,3.0
New Rochelle,78936.0,98.0,0.0,9.0,34.0,55.0,762.0,35.0,696.0,31.0,
New Windsor Town,27971.0,28.0,2.0,3.0,1.0,22.0,271.0,34.0,235.0,2.0,2.0
New York,8379043.0,47821.0,319.0,2770.0,13396.0,31336.0,122299.0,9846.0,106931.0,5522.0,
New York Mills Village,3217.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,32.0,2.0,0.0
Niagara Falls,47900.0,431.0,2.0,32.0,101.0,296.0,1848.0,266.0,1471.0,111.0,25.0
Niagara Town,7958.0,4.0,0.0,0.0,2.0,2.0,212.0,9.0,194.0,9.0,1.0
Niskayuna Town,22407.0,11.0,0.0,1.0,4.0,6.0,308.0,23.0,275.0,10.0,0.0
Nissequogue Village,1731.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0
Norfolk Town,4375.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0
North Castle Town,12248.0,4.0,0.0,0.0,0.0,4.0,75.0,5.0,66.0,4.0,0.0
Northport Village,7288.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
North Syracuse Village,6637.0,14.0,0.0,0.0,5.0,9.0,70.0,5.0,61.0,4.0,0.0
North Tonawanda,30228.0,44.0,0.0,11.0,13.0,20.0,351.0,47.0,288.0,16.0,1.0
Norwich,6581.0,28.0,0.0,15.0,0.0,13.0,186.0,31.0,153.0,2.0,0.0
Norwood Village,1553.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,4.0,0.0,1.0
Ocean Beach Village,83.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0
Ogdensburg,10484.0,36.0,0.0,3.0,2.0,31.0,296.0,56.0,237.0,3.0,2.0
Ogden Town,20144.0,10.0,1.0,0.0,2.0,7.0,141.0,2.0,129.0,10.0,0.0
Old Brookville Village,2202.0,1.0,0.0,0.0,0.0,1.0,45.0,9.0,27.0,9.0,0.0
Old Westbury Village,4752.0,1.0,0.0,0.0,0.0,1.0,47.0,13.0,20.0,14.0,1.0
Olean,13499.0,45.0,0.0,9.0,4.0,32.0,310.0,36.0,266.0,8.0,2.0
Oneida,10864.0,41.0,0.0,15.0,4.0,22.0,372.0,44.0,326.0,2.0,0.0
Oneonta City,13915.0,34.0,0.0,10.0,3.0,21.0,145.0,29.0,108.0,8.0,1.0
Orangetown Town,37371.0,34.0,0.0,5.0,12.0,17.0,265.0,27.0,234.0,4.0,1.0
Orchard Park Town,29599.0,24.0,0.0,9.0,4.0,11.0,345.0,31.0,306.0,8.0,0.0
Oriskany Village,1329.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0
Ossining Village,24991.0,20.0,1.0,1.0,4.0,14.0,157.0,13.0,141.0,3.0,0.0
Oswego City,17239.0,51.0,0.0,17.0,4.0,30.0,583.0,56.0,503.0,24.0,1.0
Owego Village,3887.0,17.0,0.0,8.0,2.0,7.0,114.0,19.0,94.0,1.0,0.0
Oxford Village,1379.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,
Oyster Bay Cove Village,4296.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,4.0,2.0,0.0
Painted Post Village,1953.0,1.0,0.0,0.0,0.0,1.0,8.0,3.0,4.0,1.0,0.0
Palmyra Village,3316.0,4.0,0.0,2.0,1.0,1.0,7.0,0.0,6.0,1.0,0.0
Peekskill,24243.0,30.0,0.0,1.0,7.0,22.0,209.0,7.0,196.0,6.0,0.0
Pelham Manor Village,5567.0,7.0,0.0,0.0,2.0,5.0,149.0,10.0,134.0,5.0,0.0
Pelham Village,6911.0,4.0,0.0,0.0,1.0,3.0,45.0,3.0,41.0,1.0,0.0
Penn Yan Village,4910.0,5.0,0.0,4.0,0.0,1.0,51.0,8.0,42.0,1.0,1.0
Perry Village,3442.0,4.0,0.0,3.0,0.0,1.0,36.0,7.0,27.0,2.0,0.0
Philmont Village,1260.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Phoenix Village,2242.0,4.0,0.0,0.0,0.0,4.0,15.0,0.0,15.0,0.0,0.0
Piermont Village,2538.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0
Pine Plains Town,2402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plattekill Town,10160.0,2.0,0.0,0.0,0.0,2.0,22.0,7.0,15.0,0.0,0.0
Plattsburgh City,19367.0,36.0,0.0,13.0,1.0,22.0,243.0,22.0,219.0,2.0,3.0
Pleasantville Village,7261.0,6.0,3.0,0.0,3.0,0.0,38.0,3.0,35.0,0.0,0.0
Port Chester Village,29317.0,21.0,1.0,2.0,7.0,11.0,200.0,18.0,172.0,10.0,1.0
Port Jervis,8523.0,37.0,1.0,7.0,3.0,26.0,137.0,14.0,117.0,6.0,1.0
Port Washington,19396.0,6.0,0.0,0.0,2.0,4.0,91.0,6.0,82.0,3.0,1.0
Potsdam Village,8917.0,2.0,0.0,0.0,1.0,1.0,67.0,8.0,58.0,1.0,0.0
Poughkeepsie,30422.0,235.0,3.0,26.0,63.0,143.0,513.0,73.0,402.0,38.0,5.0
Poughkeepsie Town,38889.0,70.0,2.0,12.0,20.0,36.0,991.0,65.0,893.0,33.0,3.0
Pound Ridge Town,5159.0,1.0,0.0,1.0,0.0,0.0,34.0,2.0,32.0,0.0,0.0
Pulaski Village,2227.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,20.0,0.0,0.0
Quogue Village,1015.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,28.0,1.0,1.0
Ramapo Town,94633.0,68.0,1.0,16.0,5.0,46.0,436.0,36.0,380.0,20.0,4.0
Red Hook Village,1956.0,1.0,0.0,0.0,0.0,1.0,38.0,9.0,29.0,0.0,0.0
Rhinebeck Village,2556.0,1.0,0.0,0.0,0.0,1.0,21.0,3.0,18.0,0.0,0.0
Riverhead Town,33536.0,33.0,1.0,3.0,10.0,19.0,568.0,43.0,516.0,9.0,4.0
Rochester,205769.0,1540.0,33.0,102.0,429.0,976.0,7142.0,1269.0,5222.0,651.0,83.0
Rockville Centre Village,24669.0,10.0,0.0,0.0,3.0,7.0,175.0,19.0,139.0,17.0,0.0
Rome,32019.0,54.0,1.0,8.0,11.0,34.0,524.0,84.0,416.0,24.0,2.0
Rosendale Town,5826.0,1.0,0.0,0.0,0.0,1.0,26.0,3.0,23.0,0.0,0.0
Rotterdam Town,29855.0,32.0,0.0,4.0,3.0,25.0,754.0,54.0,669.0,31.0,0.0
Rye,15756.0,1.0,0.0,0.0,1.0,0.0,15.0,1.0,11.0,3.0,0.0
Rye Brook Village,9530.0,0.0,0.0,0.0,0.0,0.0,69.0,6.0,58.0,5.0,0.0
Sackets Harbor Village,1413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sag Harbor Village,2298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salamanca,5439.0,24.0,0.0,0.0,4.0,20.0,54.0,8.0,43.0,3.0,1.0
Sands Point Village,2912.0,1.0,0.0,1.0,0.0,0.0,29.0,5.0,12.0,12.0,0.0
Saranac Lake Village,5221.0,4.0,0.0,2.0,0.0,2.0,35.0,8.0,26.0,1.0,0.0
Saratoga Springs,28186.0,64.0,0.0,19.0,5.0,40.0,448.0,51.0,390.0,7.0,3.0
Saugerties Town,19095.0,27.0,0.0,8.0,0.0,19.0,165.0,28.0,132.0,5.0,1.0
Scarsdale Village,17954.0,6.0,0.0,0.0,0.0,6.0,117.0,12.0,104.0,1.0,0.0
Schenectady,65504.0,528.0,3.0,56.0,133.0,336.0,1770.0,248.0,1392.0,130.0,20.0
Schodack Town,11722.0,9.0,0.0,2.0,2.0,5.0,74.0,11.0,59.0,4.0,0.0
Schoharie Village,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotia Village,7641.0,15.0,0.0,4.0,5.0,6.0,111.0,11.0,94.0,6.0,0.0
Seneca Falls Town,8632.0,9.0,0.0,3.0,1.0,5.0,205.0,15.0,187.0,3.0,0.0
Shandaken Town,2947.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0
Shawangunk Town,13853.0,2.0,0.0,1.0,0.0,1.0,41.0,8.0,30.0,3.0,0.0
Sherburne Village,1302.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0
Sherrill,2991.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0
Shortsville Village,1419.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Sidney Village,3573.0,16.0,0.0,6.0,2.0,8.0,119.0,7.0,109.0,3.0,1.0
Skaneateles Village,2464.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,39.0,0.0,0.0
Sleepy Hollow Village,10080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solvay Village,6227.0,13.0,0.0,2.0,1.0,10.0,65.0,17.0,40.0,8.0,0.0
Southampton Town,51090.0,46.0,0.0,9.0,6.0,31.0,474.0,42.0,411.0,21.0,0.0
Southampton Village,3326.0,1.0,0.0,0.0,0.0,1.0,48.0,6.0,38.0,4.0,0.0
